Date,Open,High,Low,Close,MACD,Signal,action,portfolio_value
2018-01-02 00:00:00-05:00,40.03,40.53,39.82,40.52,0.0,0.0,none,1000000.0
2018-01-03 00:00:00-05:00,40.59,41.06,40.45,40.52,0.0,0.0,none,1000000.0
2018-01-04 00:00:00-05:00,40.59,40.81,40.48,40.71,0.015156695156697708,0.0030313390313395417,buy,999754.6660117878
2018-01-05 00:00:00-05:00,40.8,41.26,40.71,41.17,0.06355402959391654,0.015135877143854943,none,1011040.0294695481
2018-01-08 00:00:00-05:00,41.02,41.31,40.92,41.02,0.08878209469892084,0.029865120654868127,none,1007360.0196463654
2018-01-09 00:00:00-05:00,41.06,41.18,40.79,41.01,0.10673819021198483,0.04523973456629147,none,1007114.6856581531
2018-01-10 00:00:00-05:00,40.74,41.0,40.7,41.0,0.1187922457824726,0.0599502368095277,none,1006869.351669941
2018-01-11 00:00:00-05:00,41.07,41.28,41.05,41.23,0.1452301269755054,0.07700621484272324,none,1012512.0333988211
2018-01-12 00:00:00-05:00,41.45,41.72,41.32,41.66,0.19859051677659068,0.10132307522949674,none,1023061.3948919448
2018-01-16 00:00:00-05:00,41.85,42.2,41.44,41.45,0.22138181343811425,0.12533482287122025,none,1017909.3811394892
2018-01-17 00:00:00-05:00,41.44,42.17,41.19,42.13,0.29096038702262916,0.15845993570150205,none,1034592.0923379175
2018-01-18 00:00:00-05:00,42.2,42.37,41.93,42.17,0.3453486097794709,0.19583767051709583,none,1035573.4282907662
2018-01-19 00:00:00-05:00,42.02,42.25,41.74,41.98,0.3688681733664083,0.23044377108695835,none,1030912.0825147347
2018-01-22 00:00:00-05:00,41.71,41.82,41.55,41.64,0.35596904884487657,0.255548826638542,none,1022570.7269155206
2018-01-23 00:00:00-05:00,41.71,42.21,41.6,41.65,0.34260399061467695,0.272959859433769,none,1022816.0609037328
2018-01-24 00:00:00-05:00,41.7,41.71,40.75,40.99,0.2755788995156294,0.2734836674501411,none,1006624.0176817289
2018-01-25 00:00:00-05:00,41.05,41.16,40.12,40.25,0.1608945244435489,0.2509658388488226,sell,987236.7445972495
2018-01-26 00:00:00-05:00,40.46,40.46,40.01,40.35,0.07718574597461725,0.21620982027398156,none,987236.7445972495
