Date,Open,High,Low,Close,action,RSI,portfolio_value
2018-01-02 00:00:00-05:00,40.03,40.53,39.82,40.52,none,,1000000.0
2018-01-03 00:00:00-05:00,40.59,41.06,40.45,40.52,none,,1000000.0
2018-01-04 00:00:00-05:00,40.59,40.81,40.48,40.71,none,,1000000.0
2018-01-05 00:00:00-05:00,40.8,41.26,40.71,41.17,none,,1000000.0
2018-01-08 00:00:00-05:00,41.02,41.31,40.92,41.02,none,,1000000.0
2018-01-09 00:00:00-05:00,41.06,41.18,40.79,41.01,none,,1000000.0
2018-01-10 00:00:00-05:00,40.74,41.0,40.7,41.0,none,,1000000.0
2018-01-11 00:00:00-05:00,41.07,41.28,41.05,41.23,none,,1000000.0
2018-01-12 00:00:00-05:00,41.45,41.72,41.32,41.66,none,,1000000.0
2018-01-16 00:00:00-05:00,41.85,42.2,41.44,41.45,none,,1000000.0
2018-01-17 00:00:00-05:00,41.44,42.17,41.19,42.13,none,,1000000.0
2018-01-18 00:00:00-05:00,42.2,42.37,41.93,42.17,none,,1000000.0
2018-01-19 00:00:00-05:00,42.02,42.25,41.74,41.98,none,,1000000.0
2018-01-22 00:00:00-05:00,41.71,41.82,41.55,41.64,none,,1000000.0
2018-01-23 00:00:00-05:00,41.71,42.21,41.6,41.65,none,69.15254237288136,1000000.0
2018-01-24 00:00:00-05:00,41.7,41.71,40.75,40.99,none,56.50969529085874,1000000.0
2018-01-25 00:00:00-05:00,41.05,41.16,40.12,40.25,none,44.47115384615382,1000000.0
2018-01-26 00:00:00-05:00,40.46,40.46,40.01,40.35,none,39.210526315789444,1000000.0
2018-01-29 00:00:00-05:00,40.03,40.03,39.3,39.51,none,33.18485523385293,1000000.0
2018-01-30 00:00:00-05:00,38.94,39.37,38.75,39.28,none,31.634819532908693,1000000.0
2018-01-31 00:00:00-05:00,39.26,39.63,39.17,39.39,none,33.26403326403323,1000000.0
2018-02-01 00:00:00-05:00,39.33,39.67,39.23,39.47,none,31.115879828326158,1000000.0
